date,Microsoft
2016-01-02,69
2016-01-03,72
2016-01-04,100
2016-01-05,86
2016-01-06,86
2016-01-07,89
2016-01-08,82
2016-01-09,62
2016-01-10,61
2016-01-11,84
2016-01-12,90
2016-01-13,90
2016-01-14,78
2016-01-15,64
2016-01-16,55
2016-01-17,70
2016-01-18,84
2016-01-19,93
2016-01-20,80
2016-01-21,77
2016-01-22,90
2016-01-23,63
2016-01-24,58
2016-01-25,83
2016-01-26,85
2016-01-27,87
2016-01-28,92
2016-01-29,81
2016-01-30,76
2016-01-31,53
2016-02-01,92
2016-02-02,88
2016-02-03,90
2016-02-04,79
2016-02-05,87
2016-02-06,77
2016-02-07,70
2016-02-08,87
2016-02-09,88
2016-02-10,89
2016-02-11,87
2016-02-12,73
2016-02-13,73
2016-02-14,53
2016-02-15,88
2016-02-16,95
2016-02-17,94
2016-02-18,93
2016-02-19,93
2016-02-20,72
2016-02-21,73
2016-02-22,100
2016-02-23,83
2016-02-24,84
2016-02-25,86
2016-02-26,77
2016-02-27,68
2016-02-28,70
2016-02-29,83
2016-03-01,80
2016-03-02,86
2016-03-03,72
2016-03-04,71
2016-03-05,70
2016-03-06,67
2016-03-07,69
2016-03-08,83
2016-03-09,83
2016-03-10,64
2016-03-11,84
2016-03-12,68
2016-03-13,63
2016-03-14,81
2016-03-15,67
2016-03-16,84
2016-03-17,86
2016-03-18,72
2016-03-19,59
2016-03-20,58
2016-03-21,75
2016-03-22,75
2016-03-23,80
2016-03-24,70
2016-03-25,84
2016-03-26,60
2016-03-27,55
2016-03-28,70
2016-03-29,90
2016-03-30,100
